access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	1087733
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020032700	85282
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020032700	19089
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020032700	1635
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	20358
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020032700	9357
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020032700	9910
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020032700	48387
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020032700	38218
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020032700	283139
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020032700	2723
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020032700	26577
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020032700	94128
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020032700	31966
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020032700	1020
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020032700	2362
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020032700	40058
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020032700	491
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020032700	38636
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020032700	12583
all-access	all-agents	Case_chronology_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032700	2
all-access	all-agents	List_of_events_affected_by_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	3595
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032700	17385
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020032700	73244
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020032700	346303
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020032700	77748
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020032700	23284
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020032700	14180
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020032700	10750
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020032700	12809
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020032700	81882
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020032700	8806
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020032700	22488
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020032700	4257
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020032700	52109
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020032700	47416
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020032700	30155
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020032700	8309
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020032700	41724
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020032700	7771
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020032700	3374
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020032700	42571
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020032700	26277
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020032700	14640
all-access	all-agents	Coronavirus_party	daily	en.wikipedia	2020032700	108
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020032700	6333
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	931
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_prisons	daily	en.wikipedia	2020032700	963
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020032700	1249
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020032700	27996
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020032700	707
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	11419
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020032700	30922
all-access	all-agents	2019–20_coronavirus_pandemic_in_Sichuan	daily	en.wikipedia	2020032700	193
all-access	all-agents	2020_India_coronavirus_lockdown	daily	en.wikipedia	2020032700	14584
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020032700	1259
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020032700	4812
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020032700	9939
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020032700	6876
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020032700	9572
all-access	all-agents	2020_coronavirus_pandemic_in_Manitoba	daily	en.wikipedia	2020032700	474
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020032700	1497
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020032700	4350
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020032700	5341
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020032700	736
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020032700	2712
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020032700	5392
all-access	all-agents	Coronavirus_Aid,_Relief,_and_Economic_Security_Act	daily	en.wikipedia	2020032700	9517
all-access	all-agents	Darvinson_Rojas	daily	en.wikipedia	2020032700	3
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020032700	224
all-access	all-agents	Media_coverage_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	90
all-access	all-agents	Stay-at-home_order	daily	en.wikipedia	2020032700	9509
all-access	all-agents	Draft:Coronavirus_in_Zimbabwe	daily	en.wikipedia	2020032700	2
all-access	all-agents	2020_coronavirus_pandemic_in_French_Polynesia	daily	en.wikipedia	2020032700	774
all-access	all-agents	2020_coronavirus_pandemic_in_Transnistria	daily	en.wikipedia	2020032700	599
all-access	all-agents	Chen_Wei_(medical_scientist)	daily	en.wikipedia	2020032700	290
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020032700	3028
all-access	all-agents	River_of_Grace_Community_Church	daily	en.wikipedia	2020032700	65
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032700	760
all-access	all-agents	List_of_SARS_outbreaks	daily	en.wikipedia	2020032700	1332
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020032700	4646
all-access	all-agents	2020_Malaysia_movement_control_order	daily	en.wikipedia	2020032700	8544
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020032700	2755
all-access	all-agents	2020_coronavirus_pandemic_in_Portland,_Oregon	daily	en.wikipedia	2020032700	547
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020032700	102405
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020032700	56819
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020032700	6840
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020032700	2419
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020032700	4349
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020032700	11022
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020032700	24986
all-access	all-agents	2019–20_coronavirus_pandemic_in_Shanghai	daily	en.wikipedia	2020032700	300
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020032700	4945
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020032700	11018
all-access	all-agents	2020_coronavirus_pandemic_in_Balkans	daily	en.wikipedia	2020032700	97
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020032700	3428
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020032700	4303
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020032700	6229
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020032700	6012
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020032700	4384
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020032700	20473
all-access	all-agents	2020_coronavirus_pandemic_in_Malaysia	daily	en.wikipedia	2020032700	24213
all-access	all-agents	2020_coronavirus_pandemic_in_Massachusetts	daily	en.wikipedia	2020032700	8634
all-access	all-agents	2020_coronavirus_pandemic_in_Michigan	daily	en.wikipedia	2020032700	8044
all-access	all-agents	2020_coronavirus_pandemic_in_Morocco	daily	en.wikipedia	2020032700	24973
all-access	all-agents	2020_coronavirus_pandemic_in_New_Jersey	daily	en.wikipedia	2020032700	7406
all-access	all-agents	2020_coronavirus_pandemic_in_Northern_Ireland	daily	en.wikipedia	2020032700	1931
all-access	all-agents	2020_coronavirus_pandemic_in_Ontario	daily	en.wikipedia	2020032700	9276
all-access	all-agents	2020_coronavirus_pandemic_in_Pakistan	daily	en.wikipedia	2020032700	91332
all-access	all-agents	2020_coronavirus_pandemic_in_Quebec	daily	en.wikipedia	2020032700	8794
all-access	all-agents	2020_coronavirus_pandemic_in_South_Africa	daily	en.wikipedia	2020032700	71405
all-access	all-agents	2020_coronavirus_pandemic_in_Sri_Lanka	daily	en.wikipedia	2020032700	15796
all-access	all-agents	2020_coronavirus_pandemic_in_Uruguay	daily	en.wikipedia	2020032700	2382
all-access	all-agents	2020_coronavirus_pandemic_in_Vietnam	daily	en.wikipedia	2020032700	10518
all-access	all-agents	2020_coronavirus_pandemic_in_Washington,_D.C.	daily	en.wikipedia	2020032700	1956
all-access	all-agents	2020_coronavirus_pandemic_in_Wisconsin	daily	en.wikipedia	2020032700	1710
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_Arab_Emirates	daily	en.wikipedia	2020032700	34034
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020032700	25
all-access	all-agents	COVID-19_drug_repurposing_research	daily	en.wikipedia	2020032700	2498
all-access	all-agents	Christian_Drosten	daily	en.wikipedia	2020032700	1838
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020032700	51032
all-access	all-agents	Flybe	daily	en.wikipedia	2020032700	878
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_aviation	daily	en.wikipedia	2020032700	1223
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_religion	daily	en.wikipedia	2020032700	1940
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_food_industry	daily	en.wikipedia	2020032700	256
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020032700	19380
all-access	all-agents	Liu_Fan_(nurse)	daily	en.wikipedia	2020032700	156
