access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031700	1080417
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031700	91485
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031700	33023
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031700	1055
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031700	54247
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020031700	42378
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031700	9554
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031700	50554
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031700	86887
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031700	268429
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031700	2168
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031700	38232
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031700	36015
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031700	66246
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031700	1607
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020031700	983
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031700	21231
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020031700	359
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031700	44528
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031700	17689
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031700	40431
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031700	106237
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031700	241272
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031700	91586
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031700	25127
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031700	16462
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031700	10386
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031700	10470
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031700	116788
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031700	9174
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031700	17282
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031700	6031
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031700	21180
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031700	57996
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031700	52043
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031700	15064
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031700	50792
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031700	6672
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020031700	2823
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031700	44858
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031700	26886
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020031700	19159
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020031700	7273
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031700	1285
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020031700	1223
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020031700	26447
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020031700	581
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031700	12903
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020031700	26062
all-access	all-agents	2019–20_coronavirus_pandemic_in_Sichuan	daily	en.wikipedia	2020031700	198
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020031700	1339
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020031700	2896
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020031700	9508
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020031700	4695
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020031700	8795
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020031700	1465
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020031700	5120
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020031700	6681
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020031700	12
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020031700	3021
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020031700	5990
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020031700	109
all-access	all-agents	2020_coronavirus_pandemic_in_French_Polynesia	daily	en.wikipedia	2020031700	683
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020031700	11079
all-access	all-agents	River_of_Grace_Community_Church	daily	en.wikipedia	2020031700	399
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031700	609
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020031700	3802
all-access	all-agents	2020_Malaysia_movement_control_order	daily	en.wikipedia	2020031700	7339
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020031700	273
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020031700	71611
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020031700	14473
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020031700	12384
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020031700	2851
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020031700	17332
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020031700	122
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020031700	73624
all-access	all-agents	2019–20_coronavirus_pandemic_in_Shanghai	daily	en.wikipedia	2020031700	292
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020031700	2495
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020031700	11235
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020031700	4020
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020031700	3195
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020031700	3906
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020031700	4371
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020031700	2404
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020031700	5767
all-access	all-agents	2020_coronavirus_pandemic_in_Malaysia	daily	en.wikipedia	2020031700	27393
all-access	all-agents	2020_coronavirus_pandemic_in_Massachusetts	daily	en.wikipedia	2020031700	7654
all-access	all-agents	2020_coronavirus_pandemic_in_Michigan	daily	en.wikipedia	2020031700	2741
all-access	all-agents	2020_coronavirus_pandemic_in_Morocco	daily	en.wikipedia	2020031700	12161
all-access	all-agents	2020_coronavirus_pandemic_in_New_Jersey	daily	en.wikipedia	2020031700	5263
all-access	all-agents	2020_coronavirus_pandemic_in_Ontario	daily	en.wikipedia	2020031700	3648
all-access	all-agents	2020_coronavirus_pandemic_in_Pakistan	daily	en.wikipedia	2020031700	61541
all-access	all-agents	2020_coronavirus_pandemic_in_Quebec	daily	en.wikipedia	2020031700	19
all-access	all-agents	2020_coronavirus_pandemic_in_South_Africa	daily	en.wikipedia	2020031700	68632
