access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	1237235
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020032200	95275
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020032200	29681
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020032200	1912
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	24701
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020032200	12831
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020032200	7108
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020032200	49811
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020032200	57270
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020032200	401723
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020032200	2814
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020032200	37812
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020032200	49728
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020032200	80119
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020032200	1299
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020032200	1632
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020032200	18133
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020032200	424
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020032200	38901
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020032200	17152
all-access	all-agents	List_of_events_affected_by_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	4040
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032200	22177
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020032200	76515
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020032200	310544
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020032200	86374
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020032200	19963
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020032200	14697
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020032200	14322
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020032200	11564
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020032200	96038
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020032200	6157
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020032200	13535
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020032200	3738
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020032200	36915
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020032200	49438
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020032200	30123
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020032200	9652
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020032200	38923
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020032200	10373
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020032200	2764
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020032200	49574
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020032200	17876
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020032200	15490
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020032200	6456
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	1453
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_prisons	daily	en.wikipedia	2020032200	650
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020032200	1897
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020032200	36856
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020032200	726
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	11880
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020032200	26627
all-access	all-agents	2019–20_coronavirus_pandemic_in_Sichuan	daily	en.wikipedia	2020032200	256
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020032200	1487
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020032200	3333
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020032200	11489
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020032200	6396
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020032200	9782
all-access	all-agents	2020_coronavirus_pandemic_in_Manitoba	daily	en.wikipedia	2020032200	245
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020032200	1199
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020032200	5799
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020032200	6247
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020032200	1333
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020032200	4866
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020032200	6523
all-access	all-agents	Coronavirus_Aid,_Relief,_and_Economic_Security_Act	daily	en.wikipedia	2020032200	413
all-access	all-agents	Darvinson_Rojas	daily	en.wikipedia	2020032200	174
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020032200	108
all-access	all-agents	Media_coverage_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	125
all-access	all-agents	Stay-at-home_order	daily	en.wikipedia	2020032200	2829
all-access	all-agents	Draft:Coronavirus_in_Zimbabwe	daily	en.wikipedia	2020032200	1
all-access	all-agents	2020_coronavirus_pandemic_in_French_Polynesia	daily	en.wikipedia	2020032200	935
all-access	all-agents	Chen_Wei_(medical_scientist)	daily	en.wikipedia	2020032200	583
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020032200	8583
all-access	all-agents	River_of_Grace_Community_Church	daily	en.wikipedia	2020032200	119
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032200	680
all-access	all-agents	List_of_SARS_outbreaks	daily	en.wikipedia	2020032200	219
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020032200	3968
all-access	all-agents	2020_Malaysia_movement_control_order	daily	en.wikipedia	2020032200	6496
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020032200	1915
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020032200	79509
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020032200	19401
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020032200	12203
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020032200	1852
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020032200	5996
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020032200	160
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020032200	42802
all-access	all-agents	2019–20_coronavirus_pandemic_in_Shanghai	daily	en.wikipedia	2020032200	146
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020032200	3679
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020032200	8212
all-access	all-agents	2020_coronavirus_pandemic_in_Balkans	daily	en.wikipedia	2020032200	2568
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020032200	2673
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020032200	4450
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020032200	5071
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020032200	5514
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020032200	2659
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020032200	17328
all-access	all-agents	2020_coronavirus_pandemic_in_Malaysia	daily	en.wikipedia	2020032200	22570
all-access	all-agents	2020_coronavirus_pandemic_in_Massachusetts	daily	en.wikipedia	2020032200	7079
all-access	all-agents	2020_coronavirus_pandemic_in_Michigan	daily	en.wikipedia	2020032200	5464
all-access	all-agents	2020_coronavirus_pandemic_in_Morocco	daily	en.wikipedia	2020032200	62573
all-access	all-agents	2020_coronavirus_pandemic_in_New_Jersey	daily	en.wikipedia	2020032200	6514
all-access	all-agents	2020_coronavirus_pandemic_in_Northern_Ireland	daily	en.wikipedia	2020032200	2636
all-access	all-agents	2020_coronavirus_pandemic_in_Ontario	daily	en.wikipedia	2020032200	7763
all-access	all-agents	2020_coronavirus_pandemic_in_Pakistan	daily	en.wikipedia	2020032200	94630
all-access	all-agents	2020_coronavirus_pandemic_in_Quebec	daily	en.wikipedia	2020032200	4824
all-access	all-agents	2020_coronavirus_pandemic_in_South_Africa	daily	en.wikipedia	2020032200	66839
all-access	all-agents	2020_coronavirus_pandemic_in_Sri_Lanka	daily	en.wikipedia	2020032200	13534
all-access	all-agents	2020_coronavirus_pandemic_in_Uruguay	daily	en.wikipedia	2020032200	2533
all-access	all-agents	2020_coronavirus_pandemic_in_Vietnam	daily	en.wikipedia	2020032200	10065
all-access	all-agents	2020_coronavirus_pandemic_in_Washington,_D.C.	daily	en.wikipedia	2020032200	1805
