access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	1227885
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020032000	94620
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020032000	38806
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020032000	2134
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	26371
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020032000	16581
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020032000	9666
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020032000	49197
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020032000	64745
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020032000	367431
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020032000	3144
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020032000	37784
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020032000	47241
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020032000	164394
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020032000	1349
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020032000	8145
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020032000	24263
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020032000	490
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020032000	67228
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020032000	16418
all-access	all-agents	List_of_events_affected_by_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	4822
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020032000	26765
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020032000	90403
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020032000	285576
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020032000	81220
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020032000	20350
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020032000	15325
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020032000	9874
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020032000	11230
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020032000	114077
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020032000	6186
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020032000	13486
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020032000	4327
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020032000	31755
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020032000	50763
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020032000	33549
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020032000	9310
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020032000	39539
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020032000	6667
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020032000	2197
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020032000	46936
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020032000	16761
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020032000	15134
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020032000	7038
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	1433
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020032000	1483
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020032000	50535
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020032000	578
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	15159
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020032000	25465
all-access	all-agents	2019–20_coronavirus_pandemic_in_Sichuan	daily	en.wikipedia	2020032000	445
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020032000	1238
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020032000	3079
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020032000	10219
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020032000	5189
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020032000	8368
all-access	all-agents	2020_coronavirus_pandemic_in_Manitoba	daily	en.wikipedia	2020032000	100
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020032000	1497
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020032000	4077
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020032000	6048
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020032000	10
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020032000	2892
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020032000	6111
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020032000	304
all-access	all-agents	Draft:Coronavirus_in_Zimbabwe	daily	en.wikipedia	2020032000	3
all-access	all-agents	2020_coronavirus_pandemic_in_French_Polynesia	daily	en.wikipedia	2020032000	913
all-access	all-agents	Chen_Wei_(medical_scientist)	daily	en.wikipedia	2020032000	447
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020032000	10466
all-access	all-agents	River_of_Grace_Community_Church	daily	en.wikipedia	2020032000	302
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020032000	808
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020032000	4814
all-access	all-agents	2020_Malaysia_movement_control_order	daily	en.wikipedia	2020032000	5845
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020032000	2145
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020032000	107061
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020032000	15022
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020032000	18324
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020032000	1377
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020032000	5088
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020032000	133
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020032000	33006
all-access	all-agents	2019–20_coronavirus_pandemic_in_Shanghai	daily	en.wikipedia	2020032000	106
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020032000	2778
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020032000	9097
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020032000	2848
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020032000	3762
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020032000	5661
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020032000	5663
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020032000	2414
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020032000	12442
all-access	all-agents	2020_coronavirus_pandemic_in_Malaysia	daily	en.wikipedia	2020032000	22639
all-access	all-agents	2020_coronavirus_pandemic_in_Massachusetts	daily	en.wikipedia	2020032000	6758
all-access	all-agents	2020_coronavirus_pandemic_in_Michigan	daily	en.wikipedia	2020032000	5220
all-access	all-agents	2020_coronavirus_pandemic_in_Morocco	daily	en.wikipedia	2020032000	48337
all-access	all-agents	2020_coronavirus_pandemic_in_New_Jersey	daily	en.wikipedia	2020032000	6005
