access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031400	883578
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031400	83603
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031400	21191
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031400	534
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031400	34461
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020031400	14704
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031400	5087
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031400	39052
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031400	75672
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031400	176299
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031400	1547
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031400	37710
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031400	30621
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031400	13548
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031400	2089
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031400	31451
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020031400	642
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031400	32181
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031400	14643
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031400	15317
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031400	64458
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031400	168430
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031400	45740
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031400	17493
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031400	10432
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031400	7057
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031400	13633
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031400	93327
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031400	7044
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031400	8353
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031400	4591
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031400	6465
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031400	47483
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031400	65045
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031400	11155
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031400	57358
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031400	5661
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020031400	2374
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031400	39348
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031400	23694
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020031400	19784
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020031400	8818
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031400	469
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020031400	23711
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020031400	413
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031400	6153
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020031400	21192
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020031400	1486
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020031400	1569
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020031400	11504
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020031400	4081
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020031400	5376
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020031400	1028
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020031400	3512
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020031400	6424
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020031400	4
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020031400	2793
