access	agent	article	granularity	project	timestamp	views
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020030200	59347
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020030200	1250
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020030200	337
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020030200	1246
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020030200	6294
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020030200	117
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020030200	6935
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020030200	17383
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020030200	3399
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030200	11004
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020030200	2437
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020030200	8894
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020030200	249
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020030200	7986
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020030200	3164
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020030200	30
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020030200	804
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020030200	1106
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020030200	251
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020030200	17561
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020030200	37293
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020030200	895
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020030200	2563
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020030200	134
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020030200	11073
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020030200	12
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020030200	41
all-access	all-agents	Flybe	daily	en.wikipedia	2020030200	618
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020030200	356
all-access	all-agents	Matthew_Pottinger	daily	en.wikipedia	2020030200	100
all-access	all-agents	Neil_Ferguson_(epidemiologist)	daily	en.wikipedia	2020030200	142
all-access	all-agents	Robert_Wilkie	daily	en.wikipedia	2020030200	364
all-access	all-agents	Sophie_Grégoire_Trudeau	daily	en.wikipedia	2020030200	625
all-access	all-agents	World_Dream	daily	en.wikipedia	2020030200	314
all-access	all-agents	Chen_Qiushi	daily	en.wikipedia	2020030200	1237
all-access	all-agents	Claire_Byrne	daily	en.wikipedia	2020030200	288
all-access	all-agents	Derek_Kan	daily	en.wikipedia	2020030200	18
all-access	all-agents	EvergreenHealth	daily	en.wikipedia	2020030200	1775
all-access	all-agents	Giuliana_De_Sio	daily	en.wikipedia	2020030200	23
all-access	all-agents	Index_case	daily	en.wikipedia	2020030200	2856
all-access	all-agents	Joel_Szabat	daily	en.wikipedia	2020030200	9
all-access	all-agents	Kelvin_Droegemeier	daily	en.wikipedia	2020030200	120
all-access	all-agents	Lumpinee_Boxing_Stadium	daily	en.wikipedia	2020030200	85
all-access	all-agents	Mirga_Gražinytė-Tyla	daily	en.wikipedia	2020030200	67
all-access	all-agents	Patrick_Vallance	daily	en.wikipedia	2020030200	179
all-access	all-agents	Pete_Gaynor	daily	en.wikipedia	2020030200	107
all-access	all-agents	Richard_Wilkins_(TV_presenter)	daily	en.wikipedia	2020030200	234
all-access	all-agents	Ruby_Princess	daily	en.wikipedia	2020030200	92
all-access	all-agents	Shi_Zhengli	daily	en.wikipedia	2020030200	713
all-access	all-agents	Siobhán_Killeen	daily	en.wikipedia	2020030200	3
all-access	all-agents	Stephen_Hahn_(oncologist)	daily	en.wikipedia	2020030200	401
all-access	all-agents	Bat_SARS-like_coronavirus_WIV1	daily	en.wikipedia	2020030200	677
all-access	all-agents	Central_Hospital_of_Wuhan	daily	en.wikipedia	2020030200	77
all-access	all-agents	Chinese_Center_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030200	391
all-access	all-agents	Dance_Again_(Selena_Gomez_song)	daily	en.wikipedia	2020030200	3
all-access	all-agents	Duan_Zhengcheng	daily	en.wikipedia	2020030200	323
all-access	all-agents	Fariborz_Raisdana	daily	en.wikipedia	2020030200	1
all-access	all-agents	Korea_Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030200	224
all-access	all-agents	Luciana_Lamorgese	daily	en.wikipedia	2020030200	41
all-access	all-agents	Michael_Carton	daily	en.wikipedia	2020030200	4
all-access	all-agents	Notifiable_diseases_in_the_United_Kingdom	daily	en.wikipedia	2020030200	180
all-access	all-agents	File:SARS-CoV_scanning_electron_microscope_image.jpg	daily	en.wikipedia	2020030200	106
all-access	all-agents	File:2019-nCoV-CDC-23312.png	daily	en.wikipedia	2020030200	5
all-access	all-agents	File:2020_coronavirus_task_force.jpg	daily	en.wikipedia	2020030200	78
all-access	all-agents	File:Arrival_of_repatriated_Filipinos_from_China_2019-nCov.jpg	daily	en.wikipedia	2020030200	1
all-access	all-agents	File:COVID-19_Confirmed_Cases_Animated_Map.webm	daily	en.wikipedia	2020030200	4
all-access	all-agents	File:COVID-19_Outbreak_Cases_in_Germany.svg	daily	en.wikipedia	2020030200	1
all-access	all-agents	File:Check_for_2019-nCoV_in_Beijing_railway_station_metro_station.jpg	daily	en.wikipedia	2020030200	1
all-access	all-agents	File:Citizens_of_Wuhan_lining_up_outside_of_a_drug_store_to_buy_masks_during_the_Wuhan_coronavirus_outbreak.jpg	daily	en.wikipedia	2020030200	37
all-access	all-agents	File:Exit-Entry_Permit_for_Residents_During_the_Outbreak_of_2019-nCoV.png	daily	en.wikipedia	2020030200	1
all-access	all-agents	File:Surgical_mask_and_84_disinfectant_liquid_purchase_limit_notice_at_a_CSF_Market_(20200202155633).jpg	daily	en.wikipedia	2020030200	6
all-access	all-agents	File:关于做好不明原因肺炎救治工作的紧急通知.pdf	daily	en.wikipedia	2020030200	4
all-access	all-agents	File:湖南抗疫一线医生父子隔防护玻璃互相打气.webm	daily	en.wikipedia	2020030200	2
all-access	all-agents	File:雁塔_曲江收费站的防疫检查_01.jpg	daily	en.wikipedia	2020030200	1
all-access	all-agents	Coronavirus_disease_2019	daily	en.wikipedia	2020030200	107307
all-access	all-agents	Transmission_(medicine)	daily	en.wikipedia	2020030200	2632
all-access	all-agents	Acute_respiratory_distress_syndrome	daily	en.wikipedia	2020030200	3760
all-access	all-agents	World_Health_Organization	daily	en.wikipedia	2020030200	14906
all-access	all-agents	2020_Hubei_lockdowns	daily	en.wikipedia	2020030200	5857
all-access	all-agents	Coronavirus	daily	en.wikipedia	2020030200	327759
all-access	all-agents	Huanan_Seafood_Wholesale_Market	daily	en.wikipedia	2020030200	9103
all-access	all-agents	Triage	daily	en.wikipedia	2020030200	1294
all-access	all-agents	Concerns_and_controversies_at_the_2020_Summer_Olympics	daily	en.wikipedia	2020030200	473
all-access	all-agents	Hydroxychloroquine	daily	en.wikipedia	2020030200	1528
all-access	all-agents	Severe_acute_respiratory_syndrome	daily	en.wikipedia	2020030200	50551
all-access	all-agents	Coronaviridae	daily	en.wikipedia	2020030200	8126
all-access	all-agents	Diamond_Princess_(ship)	daily	en.wikipedia	2020030200	16054
all-access	all-agents	Zhong_Nanshan	daily	en.wikipedia	2020030200	91310
all-access	all-agents	Disease_cluster	daily	en.wikipedia	2020030200	90
all-access	all-agents	Boris_Johnson	daily	en.wikipedia	2020030200	55539
all-access	all-agents	Coalition_for_Epidemic_Preparedness_Innovations	daily	en.wikipedia	2020030200	303
all-access	all-agents	Ken_Cuccinelli	daily	en.wikipedia	2020030200	5236
all-access	all-agents	Mike_Pence	daily	en.wikipedia	2020030200	18695
all-access	all-agents	Robert_C._O'Brien_(attorney)	daily	en.wikipedia	2020030200	332
all-access	all-agents	USNS_Comfort_(T-AH-20)	daily	en.wikipedia	2020030200	229
all-access	all-agents	Alex_Azar	daily	en.wikipedia	2020030200	19761
all-access	all-agents	Ben_Carson	daily	en.wikipedia	2020030200	5505
all-access	all-agents	Disease_X	daily	en.wikipedia	2020030200	1542
all-access	all-agents	Gerónimo_Lluberas	daily	en.wikipedia	2020030200	2
all-access	all-agents	Life_Care_Centers_of_America	daily	en.wikipedia	2020030200	557
all-access	all-agents	MS_Westerdam	daily	en.wikipedia	2020030200	451
all-access	all-agents	Maurice_Berger	daily	en.wikipedia	2020030200	12
all-access	all-agents	Robert_R._Redfield	daily	en.wikipedia	2020030200	4556
all-access	all-agents	SARS_conspiracy_theory	daily	en.wikipedia	2020030200	2454
all-access	all-agents	Steven_Mnuchin	daily	en.wikipedia	2020030200	1426
all-access	all-agents	USNS_Mercy_(T-AH-19)	daily	en.wikipedia	2020030200	147
all-access	all-agents	WrestleMania_36	daily	en.wikipedia	2020030200	26613
all-access	all-agents	Brett_Dean	daily	en.wikipedia	2020030200	23
all-access	all-agents	Chris_Liddell	daily	en.wikipedia	2020030200	69
all-access	all-agents	European_Centre_for_Disease_Prevention_and_Control	daily	en.wikipedia	2020030200	556
all-access	all-agents	Favipiravir	daily	en.wikipedia	2020030200	1576
all-access	all-agents	Huoshenshan_Hospital	daily	en.wikipedia	2020030200	1561
all-access	all-agents	Jerome_Adams	daily	en.wikipedia	2020030200	12176
all-access	all-agents	Johannes_B._Kerner	daily	en.wikipedia	2020030200	10
all-access	all-agents	Leishenshan_Hospital	daily	en.wikipedia	2020030200	425
all-access	all-agents	Lucia_Bosè	daily	en.wikipedia	2020030200	82
all-access	all-agents	MS_Braemar	daily	en.wikipedia	2020030200	169
all-access	all-agents	Paul_Goma	daily	en.wikipedia	2020030200	6
all-access	all-agents	Rita_Wilson	daily	en.wikipedia	2020030200	2417
all-access	all-agents	Seema_Verma	daily	en.wikipedia	2020030200	8232
all-access	all-agents	Stephen_Biegun	daily	en.wikipedia	2020030200	122
all-access	all-agents	Chen_Yixin	daily	en.wikipedia	2020030200	56
all-access	all-agents	Ciara_Kelly	daily	en.wikipedia	2020030200	42
all-access	all-agents	Dabie_Mountain_Regional_Medical_Centre	daily	en.wikipedia	2020030200	111
all-access	all-agents	Detto_Mariano	daily	en.wikipedia	2020030200	3
all-access	all-agents	Eurovision_Young_Musicians_2020	daily	en.wikipedia	2020030200	237
all-access	all-agents	John_Bessler	daily	en.wikipedia	2020030200	5498
all-access	all-agents	Lorenzo_Acquarone	daily	en.wikipedia	2020030200	2
all-access	all-agents	Nicolas_Alfonsi	daily	en.wikipedia	2020030200	1
all-access	all-agents	Preta_Gil	daily	en.wikipedia	2020030200	31
all-access	all-agents	Vittorio_Gregotti	daily	en.wikipedia	2020030200	31
all-access	all-agents	Wang_Xiaodong_(born_1960)	daily	en.wikipedia	2020030200	117
all-access	all-agents	File:SARS-CoV-2_49534865371.jpg	daily	en.wikipedia	2020030200	96
all-access	all-agents	Coronavirus_disease	daily	en.wikipedia	2020030200	3513
all-access	all-agents	File:2019-nCoV-CDC-23312_without_background.png	daily	en.wikipedia	2020030200	423
all-access	all-agents	File:2019-nCoV_HealthAdvisory_DOH_Philippines.jpg	daily	en.wikipedia	2020030200	8
all-access	all-agents	File:2020_coronavirus_patients_in_China.svg	daily	en.wikipedia	2020030200	1174
all-access	all-agents	File:COVID-19_Outbreak_Cases_in_Australia.svg	daily	en.wikipedia	2020030200	13
all-access	all-agents	File:COVID-19_Outbreak_Cases_in_Egypt.svg	daily	en.wikipedia	2020030200	20
all-access	all-agents	File:COVID-19_Outbreak_Cases_in_Mainland_China.svg	daily	en.wikipedia	2020030200	37
all-access	all-agents	File:COVID-19_Outbreak_World_Map.svg	daily	en.wikipedia	2020030200	7866
all-access	all-agents	File:Check_for_2019-nCoV_in_Jishuitan_metro_station_(Beijing).jpg	daily	en.wikipedia	2020030200	3
all-access	all-agents	File:Street_photo_in_Guangzhou_city_(49477439332).jpg	daily	en.wikipedia	2020030200	54
all-access	all-agents	File:李文亮的训诫书.png	daily	en.wikipedia	2020030200	112
all-access	all-agents	Wuhan_coronavirus	daily	en.wikipedia	2020030200	126
all-access	all-agents	Draft:2020_coronavirus_outbreak_in_Azerbaijan	daily	en.wikipedia	2020030200	8
all-access	all-agents	Draft:2020_coronavirus_outbreak_in_the_Netherlands	daily	en.wikipedia	2020030200	3
all-access	all-agents	Draft:Blood_plasma_and_Covid_19	daily	en.wikipedia	2020030200	1
all-access	all-agents	Draft:List_of_known_cases_of_COVID-19_in_the_United_States	daily	en.wikipedia	2020030200	15
all-access	all-agents	Spit_hood	daily	en.wikipedia	2020030200	48
all-access	all-agents	Mark_Blum	daily	en.wikipedia	2020030200	209
all-access	all-agents	Michael_Sorkin	daily	en.wikipedia	2020030200	24
all-access	all-agents	William_Stern_(businessman)	daily	en.wikipedia	2020030200	10
all-access	all-agents	Template:2020_coronavirus_quarantines	daily	en.wikipedia	2020030200	29
all-access	all-agents	Draft:Severe_acute_respiratory_syndrome-related_coronavirus	daily	en.wikipedia	2020030200	3
all-access	all-agents	Gaetano_Manfredi	daily	en.wikipedia	2020030200	6
all-access	all-agents	Azam_Khan_(squash_player)	daily	en.wikipedia	2020030200	7
all-access	all-agents	Mike_Longo	daily	en.wikipedia	2020030200	16
all-access	all-agents	Orlando_McDaniel	daily	en.wikipedia	2020030200	19
