access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031100	301248
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031100	106578
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031100	13400
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031100	625
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031100	14655
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031100	228
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031100	9939
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031100	21267
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031100	57086
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031100	19
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031100	9504
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031100	20088
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031100	11819
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031100	4410
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031100	29939
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031100	27272
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031100	8750
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031100	3541
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031100	15143
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031100	53368
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031100	4322
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031100	2464
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031100	2941
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031100	2525
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031100	1444
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031100	32782
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031100	2714
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031100	1679
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031100	563
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031100	719
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031100	7511
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031100	14606
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031100	2049
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031100	15836
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031100	1200
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031100	9071
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031100	5638
