access	agent	article	granularity	project	timestamp	views
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020030600	63012
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020030600	2093
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020030600	364
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020030600	7509
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020030600	6024
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020030600	12410
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020030600	9693
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020030600	12521
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020030600	3609
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030600	10396
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020030600	2536
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020030600	8767
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020030600	233
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020030600	7091
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020030600	4069
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020030600	67
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020030600	906
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020030600	1479
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020030600	223
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020030600	13106
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020030600	27944
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020030600	4341
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020030600	2656
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020030600	93
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020030600	17992
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020030600	10
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020030600	31
all-access	all-agents	Flybe	daily	en.wikipedia	2020030600	22579
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020030600	471
all-access	all-agents	Matthew_Pottinger	daily	en.wikipedia	2020030600	210
all-access	all-agents	Neil_Ferguson_(epidemiologist)	daily	en.wikipedia	2020030600	174
all-access	all-agents	Robert_Wilkie	daily	en.wikipedia	2020030600	291
all-access	all-agents	Sophie_Grégoire_Trudeau	daily	en.wikipedia	2020030600	606
all-access	all-agents	World_Dream	daily	en.wikipedia	2020030600	256
all-access	all-agents	Chen_Qiushi	daily	en.wikipedia	2020030600	882
all-access	all-agents	Claire_Byrne	daily	en.wikipedia	2020030600	66
all-access	all-agents	Derek_Kan	daily	en.wikipedia	2020030600	17
all-access	all-agents	EvergreenHealth	daily	en.wikipedia	2020030600	408
all-access	all-agents	Giuliana_De_Sio	daily	en.wikipedia	2020030600	30
all-access	all-agents	Index_case	daily	en.wikipedia	2020030600	2093
all-access	all-agents	Joel_Szabat	daily	en.wikipedia	2020030600	21
all-access	all-agents	Kelvin_Droegemeier	daily	en.wikipedia	2020030600	57
all-access	all-agents	Lumpinee_Boxing_Stadium	daily	en.wikipedia	2020030600	71
all-access	all-agents	Mirga_Gražinytė-Tyla	daily	en.wikipedia	2020030600	85
all-access	all-agents	Patrick_Vallance	daily	en.wikipedia	2020030600	2093
all-access	all-agents	Pete_Gaynor	daily	en.wikipedia	2020030600	87
all-access	all-agents	Richard_Wilkins_(TV_presenter)	daily	en.wikipedia	2020030600	366
all-access	all-agents	Ruby_Princess	daily	en.wikipedia	2020030600	173
all-access	all-agents	Shi_Zhengli	daily	en.wikipedia	2020030600	628
all-access	all-agents	Siobhán_Killeen	daily	en.wikipedia	2020030600	2
all-access	all-agents	Stephen_Hahn_(oncologist)	daily	en.wikipedia	2020030600	843
all-access	all-agents	Bat_SARS-like_coronavirus_WIV1	daily	en.wikipedia	2020030600	761
all-access	all-agents	Central_Hospital_of_Wuhan	daily	en.wikipedia	2020030600	102
all-access	all-agents	Chinese_Center_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030600	430
all-access	all-agents	Dance_Again_(Selena_Gomez_song)	daily	en.wikipedia	2020030600	1
all-access	all-agents	Duan_Zhengcheng	daily	en.wikipedia	2020030600	431
all-access	all-agents	Fariborz_Raisdana	daily	en.wikipedia	2020030600	8
all-access	all-agents	Health_Protection_(Coronavirus)_Regulations_2020	daily	en.wikipedia	2020030600	232
all-access	all-agents	Korea_Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030600	114
all-access	all-agents	Luciana_Lamorgese	daily	en.wikipedia	2020030600	49
all-access	all-agents	Michael_Carton	daily	en.wikipedia	2020030600	9
all-access	all-agents	Notifiable_diseases_in_the_United_Kingdom	daily	en.wikipedia	2020030600	262
all-access	all-agents	File:SARS-CoV_scanning_electron_microscope_image.jpg	daily	en.wikipedia	2020030600	127
all-access	all-agents	File:2019-nCoV-CDC-23312.png	daily	en.wikipedia	2020030600	2
all-access	all-agents	File:2020_coronavirus_task_force.jpg	daily	en.wikipedia	2020030600	70
all-access	all-agents	File:Arrival_of_repatriated_Filipinos_from_China_2019-nCov.jpg	daily	en.wikipedia	2020030600	1
all-access	all-agents	File:COVID-19_Confirmed_Cases_Animated_Map.webm	daily	en.wikipedia	2020030600	10
all-access	all-agents	File:COVID-19_Outbreak_Cases_in_Germany.svg	daily	en.wikipedia	2020030600	7
all-access	all-agents	File:Citizens_of_Wuhan_lining_up_outside_of_a_drug_store_to_buy_masks_during_the_Wuhan_coronavirus_outbreak.jpg	daily	en.wikipedia	2020030600	57
all-access	all-agents	File:Surgical_mask_and_84_disinfectant_liquid_purchase_limit_notice_at_a_CSF_Market_(20200202155633).jpg	daily	en.wikipedia	2020030600	8
all-access	all-agents	File:关于做好不明原因肺炎救治工作的紧急通知.pdf	daily	en.wikipedia	2020030600	4
all-access	all-agents	File:湖南抗疫一线医生父子隔防护玻璃互相打气.webm	daily	en.wikipedia	2020030600	2
all-access	all-agents	Coronavirus_disease_2019	daily	en.wikipedia	2020030600	112650
all-access	all-agents	Transmission_(medicine)	daily	en.wikipedia	2020030600	2103
all-access	all-agents	Acute_respiratory_distress_syndrome	daily	en.wikipedia	2020030600	3301
all-access	all-agents	World_Health_Organization	daily	en.wikipedia	2020030600	15852
all-access	all-agents	2020_Hubei_lockdowns	daily	en.wikipedia	2020030600	5735
all-access	all-agents	Coronavirus	daily	en.wikipedia	2020030600	342322
all-access	all-agents	Huanan_Seafood_Wholesale_Market	daily	en.wikipedia	2020030600	10365
all-access	all-agents	Triage	daily	en.wikipedia	2020030600	1163
all-access	all-agents	Concerns_and_controversies_at_the_2020_Summer_Olympics	daily	en.wikipedia	2020030600	766
all-access	all-agents	Hydroxychloroquine	daily	en.wikipedia	2020030600	1451
all-access	all-agents	Severe_acute_respiratory_syndrome	daily	en.wikipedia	2020030600	39827
all-access	all-agents	Coronaviridae	daily	en.wikipedia	2020030600	8067
