access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031200	1122556
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031200	144256
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031200	24610
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031200	649
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031200	44644
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031200	232
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031200	39542
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031200	84176
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031200	164741
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031200	768
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031200	35651
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031200	27580
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031200	15741
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031200	3038
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031200	32098
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031200	32730
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031200	11611
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031200	17309
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031200	71318
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031200	179589
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031200	43373
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031200	16715
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031200	9397
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031200	8513
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031200	12353
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031200	122003
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031200	10142
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031200	7377
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031200	2868
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031200	4438
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031200	37292
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031200	51522
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031200	10319
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031200	75086
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031200	5898
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031200	42580
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031200	37799
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020031200	21698
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020031200	10058
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020031200	28129
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020031200	411
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031200	11279
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020031200	21037
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020031200	885
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020031200	1141
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020031200	8087
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020031200	2014
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020031200	865
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020031200	2563
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020031200	7213
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020031200	3413
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020031200	6343
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020031200	41
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020031200	2363
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031200	539
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020031200	3775
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020031200	160
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020031200	948
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020031200	13250
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020031200	28589
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020031200	1928
