access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031500	932495
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031500	79035
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031500	37035
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031500	644
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031500	38824
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020031500	12565
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031500	4475
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031500	44357
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031500	97402
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031500	207120
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031500	1894
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031500	37974
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031500	28583
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031500	17139
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031500	1993
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031500	13535
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020031500	1137
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031500	53349
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031500	17183
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031500	19862
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031500	78590
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031500	189088
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031500	64991
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031500	27232
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031500	13349
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031500	9654
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031500	14632
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031500	107116
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031500	10095
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031500	11360
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031500	4737
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031500	11844
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031500	53437
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031500	65876
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031500	14798
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031500	63951
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031500	5899
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020031500	2434
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031500	48512
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031500	32971
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020031500	20500
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020031500	8653
all-access	all-agents	Financial_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031500	755
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_the_2020_Summer_Olympics	daily	en.wikipedia	2020031500	395
