access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031800	1066715
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031800	96439
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031800	33449
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031800	793
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031800	47814
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020031800	26120
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031800	8625
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031800	50237
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031800	78572
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031800	290305
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031800	2311
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031800	42701
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031800	37535
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031800	47791
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031800	1369
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_politics	daily	en.wikipedia	2020031800	1392
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031800	19026
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020031800	273
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031800	49933
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031800	20275
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031800	32100
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031800	101931
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031800	252610
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031800	84796
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031800	19465
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031800	15530
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031800	8655
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031800	9893
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031800	116900
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031800	6383
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031800	13378
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031800	5089
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031800	25750
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031800	50986
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031800	37423
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031800	10609
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031800	43346
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031800	6960
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020031800	2274
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031800	41992
