access	agent	article	granularity	project	timestamp	views
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020030100	43395
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020030100	964
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020030100	208
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020030100	897
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020030100	6038
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020030100	154
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020030100	4626
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020030100	13484
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020030100	3220
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020030100	7757
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020030100	2371
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020030100	7456
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020030100	184
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020030100	7924
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020030100	2656
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020030100	50
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020030100	419
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020030100	890
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020030100	214
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020030100	17371
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020030100	50249
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020030100	859
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020030100	4158
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020030100	128
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020030100	14427
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020030100	16
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020030100	6
all-access	all-agents	Flybe	daily	en.wikipedia	2020030100	711
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020030100	430
all-access	all-agents	Matthew_Pottinger	daily	en.wikipedia	2020030100	80
all-access	all-agents	Neil_Ferguson_(epidemiologist)	daily	en.wikipedia	2020030100	164
all-access	all-agents	Robert_Wilkie	daily	en.wikipedia	2020030100	264
all-access	all-agents	Sophie_Grégoire_Trudeau	daily	en.wikipedia	2020030100	785
all-access	all-agents	World_Dream	daily	en.wikipedia	2020030100	323
all-access	all-agents	Chen_Qiushi	daily	en.wikipedia	2020030100	773
all-access	all-agents	Claire_Byrne	daily	en.wikipedia	2020030100	70
all-access	all-agents	Derek_Kan	daily	en.wikipedia	2020030100	4
all-access	all-agents	EvergreenHealth	daily	en.wikipedia	2020030100	763
all-access	all-agents	Giuliana_De_Sio	daily	en.wikipedia	2020030100	34
all-access	all-agents	Index_case	daily	en.wikipedia	2020030100	1786
all-access	all-agents	Joel_Szabat	daily	en.wikipedia	2020030100	5
all-access	all-agents	Kelvin_Droegemeier	daily	en.wikipedia	2020030100	89
all-access	all-agents	Lumpinee_Boxing_Stadium	daily	en.wikipedia	2020030100	81
all-access	all-agents	Mirga_Gražinytė-Tyla	daily	en.wikipedia	2020030100	57
all-access	all-agents	Patrick_Vallance	daily	en.wikipedia	2020030100	63
all-access	all-agents	Pete_Gaynor	daily	en.wikipedia	2020030100	44
all-access	all-agents	Richard_Wilkins_(TV_presenter)	daily	en.wikipedia	2020030100	1451
all-access	all-agents	Ruby_Princess	daily	en.wikipedia	2020030100	144
all-access	all-agents	Shi_Zhengli	daily	en.wikipedia	2020030100	718
all-access	all-agents	Siobhán_Killeen	daily	en.wikipedia	2020030100	3
