access	agent	article	granularity	project	timestamp	views
all-access	all-agents	2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031300	1013163
all-access	all-agents	Severe_acute_respiratory_syndrome_coronavirus_2	daily	en.wikipedia	2020031300	101040
all-access	all-agents	Social_distancing	daily	en.wikipedia	2020031300	20479
all-access	all-agents	Contact_tracing	daily	en.wikipedia	2020031300	494
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031300	40759
all-access	all-agents	2020_stock_market_crash	daily	en.wikipedia	2020031300	15300
all-access	all-agents	Impact_of_the_2019–20_coronavirus_pandemic_on_cinema	daily	en.wikipedia	2020031300	1363
all-access	all-agents	2019–20_coronavirus_pandemic_in_mainland_China	daily	en.wikipedia	2020031300	41932
all-access	all-agents	2020_coronavirus_pandemic_in_Europe	daily	en.wikipedia	2020031300	83095
all-access	all-agents	2020_coronavirus_pandemic_in_Italy	daily	en.wikipedia	2020031300	168384
all-access	all-agents	2020_coronavirus_pandemic_in_Oceania	daily	en.wikipedia	2020031300	1424
all-access	all-agents	2020_coronavirus_pandemic_in_South_Korea	daily	en.wikipedia	2020031300	34388
all-access	all-agents	COVID-19_testing	daily	en.wikipedia	2020031300	30504
all-access	all-agents	Chloroquine	daily	en.wikipedia	2020031300	14759
all-access	all-agents	Grand_Princess	daily	en.wikipedia	2020031300	2184
all-access	all-agents	Tedros_Adhanom	daily	en.wikipedia	2020031300	26572
all-access	all-agents	Bruce_Aylward	daily	en.wikipedia	2020031300	269
all-access	all-agents	Remdesivir	daily	en.wikipedia	2020031300	34395
all-access	all-agents	Angiotensin-converting_enzyme_2	daily	en.wikipedia	2020031300	12531
all-access	all-agents	Timeline_of_the_2019–20_coronavirus_pandemic_in_March_2020	daily	en.wikipedia	2020031300	17152
all-access	all-agents	2020_coronavirus_pandemic_in_Canada	daily	en.wikipedia	2020031300	63079
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_States	daily	en.wikipedia	2020031300	189770
all-access	all-agents	2020_coronavirus_pandemic_in_Australia	daily	en.wikipedia	2020031300	46705
all-access	all-agents	2020_coronavirus_pandemic_in_Belgium	daily	en.wikipedia	2020031300	18529
all-access	all-agents	2020_coronavirus_pandemic_in_Bulgaria	daily	en.wikipedia	2020031300	10165
all-access	all-agents	2020_coronavirus_pandemic_in_Croatia	daily	en.wikipedia	2020031300	7429
all-access	all-agents	2020_coronavirus_pandemic_in_Finland	daily	en.wikipedia	2020031300	12393
all-access	all-agents	2020_coronavirus_pandemic_in_Germany	daily	en.wikipedia	2020031300	117433
all-access	all-agents	2020_coronavirus_pandemic_in_Hungary	daily	en.wikipedia	2020031300	8872
all-access	all-agents	2020_coronavirus_pandemic_in_Israel	daily	en.wikipedia	2020031300	6508
all-access	all-agents	2020_coronavirus_pandemic_in_Latvia	daily	en.wikipedia	2020031300	3517
all-access	all-agents	2020_coronavirus_pandemic_in_New_York_(state)	daily	en.wikipedia	2020031300	5500
all-access	all-agents	2020_coronavirus_pandemic_in_Poland	daily	en.wikipedia	2020031300	45568
all-access	all-agents	2020_coronavirus_pandemic_in_Romania	daily	en.wikipedia	2020031300	59123
all-access	all-agents	2020_coronavirus_pandemic_in_Slovakia	daily	en.wikipedia	2020031300	11086
all-access	all-agents	2020_coronavirus_pandemic_in_Sweden	daily	en.wikipedia	2020031300	74973
all-access	all-agents	2020_coronavirus_pandemic_in_Taiwan	daily	en.wikipedia	2020031300	5654
all-access	all-agents	2020_coronavirus_pandemic_in_Venezuela	daily	en.wikipedia	2020031300	1914
all-access	all-agents	2020_coronavirus_pandemic_in_the_Netherlands	daily	en.wikipedia	2020031300	38423
all-access	all-agents	2020_coronavirus_pandemic_in_the_Republic_of_Ireland	daily	en.wikipedia	2020031300	23601
all-access	all-agents	Centers_for_Disease_Control_and_Prevention	daily	en.wikipedia	2020031300	23886
all-access	all-agents	Extracorporeal_membrane_oxygenation	daily	en.wikipedia	2020031300	8967
all-access	all-agents	Li_Wenliang	daily	en.wikipedia	2020031300	28767
all-access	all-agents	National_Health_Commission	daily	en.wikipedia	2020031300	468
all-access	all-agents	Socio-economic_impact_of_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031300	10360
all-access	all-agents	Wuhan_Institute_of_Virology	daily	en.wikipedia	2020031300	25042
all-access	all-agents	2020_coronavirus_pandemic_in_Andorra	daily	en.wikipedia	2020031300	1115
all-access	all-agents	2020_coronavirus_pandemic_in_Belarus	daily	en.wikipedia	2020031300	1556
all-access	all-agents	2020_coronavirus_pandemic_in_Iceland	daily	en.wikipedia	2020031300	12944
all-access	all-agents	2020_coronavirus_pandemic_in_Kosovo	daily	en.wikipedia	2020031300	1772
all-access	all-agents	2020_coronavirus_pandemic_in_Lithuania	daily	en.wikipedia	2020031300	3361
all-access	all-agents	2020_coronavirus_pandemic_in_Monaco	daily	en.wikipedia	2020031300	961
all-access	all-agents	2020_coronavirus_pandemic_in_North_Macedonia	daily	en.wikipedia	2020031300	2690
all-access	all-agents	2020_coronavirus_pandemic_in_Slovenia	daily	en.wikipedia	2020031300	7683
all-access	all-agents	2020_coronavirus_pandemic_in_Uganda	daily	en.wikipedia	2020031300	10
all-access	all-agents	2020_coronavirus_pandemic_in_Vatican_City	daily	en.wikipedia	2020031300	4066
all-access	all-agents	Case_fatality_rate	daily	en.wikipedia	2020031300	6430
all-access	all-agents	Let's_Dance_2020	daily	en.wikipedia	2020031300	53
all-access	all-agents	Panic_buying	daily	en.wikipedia	2020031300	5393
all-access	all-agents	Evacuations_related_to_the_2019–20_coronavirus_pandemic	daily	en.wikipedia	2020031300	598
all-access	all-agents	Novel_coronavirus	daily	en.wikipedia	2020031300	3841
all-access	all-agents	2020_coronavirus_pandemic_in_Guernsey	daily	en.wikipedia	2020031300	6
all-access	all-agents	Anthony_Fauci	daily	en.wikipedia	2020031300	2119
all-access	all-agents	Charles,_Prince_of_Wales	daily	en.wikipedia	2020031300	15592
all-access	all-agents	Eurovision_Song_Contest_2020	daily	en.wikipedia	2020031300	19910
all-access	all-agents	Larry_Kudlow	daily	en.wikipedia	2020031300	1698
all-access	all-agents	Olga_Kurylenko	daily	en.wikipedia	2020031300	2371
all-access	all-agents	Terrence_McNally	daily	en.wikipedia	2020031300	127
all-access	all-agents	Tom_Hanks	daily	en.wikipedia	2020031300	253404
all-access	all-agents	2020_coronavirus_pandemic_in_Afghanistan	daily	en.wikipedia	2020031300	1156
all-access	all-agents	2020_coronavirus_pandemic_in_Argentina	daily	en.wikipedia	2020031300	6503
all-access	all-agents	2020_coronavirus_pandemic_in_Cambodia	daily	en.wikipedia	2020031300	1462
all-access	all-agents	2020_coronavirus_pandemic_in_Colorado	daily	en.wikipedia	2020031300	2267
all-access	all-agents	2020_coronavirus_pandemic_in_Florida	daily	en.wikipedia	2020031300	3708
all-access	all-agents	2020_coronavirus_pandemic_in_Hong_Kong	daily	en.wikipedia	2020031300	4192
all-access	all-agents	2020_coronavirus_pandemic_in_Iraq	daily	en.wikipedia	2020031300	2120
all-access	all-agents	2020_coronavirus_pandemic_in_Kerala	daily	en.wikipedia	2020031300	2430
all-access	all-agents	2020_coronavirus_pandemic_in_Malaysia	daily	en.wikipedia	2020031300	12505
all-access	all-agents	2020_coronavirus_pandemic_in_Massachusetts	daily	en.wikipedia	2020031300	3538
all-access	all-agents	2020_coronavirus_pandemic_in_Michigan	daily	en.wikipedia	2020031300	16
all-access	all-agents	2020_coronavirus_pandemic_in_Morocco	daily	en.wikipedia	2020031300	2706
all-access	all-agents	2020_coronavirus_pandemic_in_New_Jersey	daily	en.wikipedia	2020031300	980
all-access	all-agents	2020_coronavirus_pandemic_in_Ontario	daily	en.wikipedia	2020031300	10
all-access	all-agents	2020_coronavirus_pandemic_in_Pakistan	daily	en.wikipedia	2020031300	20405
all-access	all-agents	2020_coronavirus_pandemic_in_South_Africa	daily	en.wikipedia	2020031300	19400
all-access	all-agents	2020_coronavirus_pandemic_in_Sri_Lanka	daily	en.wikipedia	2020031300	16388
all-access	all-agents	2020_coronavirus_pandemic_in_Uruguay	daily	en.wikipedia	2020031300	279
all-access	all-agents	2020_coronavirus_pandemic_in_Vietnam	daily	en.wikipedia	2020031300	10660
all-access	all-agents	2020_coronavirus_pandemic_in_Washington,_D.C.	daily	en.wikipedia	2020031300	1342
all-access	all-agents	2020_coronavirus_pandemic_in_Wisconsin	daily	en.wikipedia	2020031300	14
all-access	all-agents	2020_coronavirus_pandemic_in_the_United_Arab_Emirates	daily	en.wikipedia	2020031300	35878
all-access	all-agents	Augustin_de_Romanet_de_Beaune	daily	en.wikipedia	2020031300	86
all-access	all-agents	Deborah_Birx	daily	en.wikipedia	2020031300	164
all-access	all-agents	Flybe	daily	en.wikipedia	2020031300	2428
all-access	all-agents	Kanika_Kapoor	daily	en.wikipedia	2020031300	518
all-access	all-agents	Liu_Fan_(nurse)	daily	en.wikipedia	2020031300	769
all-access	all-agents	Matthew_Pottinger	daily	en.wikipedia	2020031300	82
all-access	all-agents	Neil_Ferguson_(epidemiologist)	daily	en.wikipedia	2020031300	539
all-access	all-agents	Robert_Wilkie	daily	en.wikipedia	2020031300	463
